,TITLE,DESCRIPTION,BULLET_POINTS,BRAND,BROWSE_NODE_ID
110,Party Destination 160367 34 In. Pink No.2 Shaped Foil Balloon,"Balloon measures 34"" high x 24"" wide","[Item Type: Balloon,Age Group: Adult,Size: 34 Inch,Color Type: Pink]",Mayflower Products,110
111,Mr. Clay (lightweight clay stone powder) 300g VM006 (japan import),,,,55
112,"Seagate Barracuda (ST3160815AS) 160GB 8MB Cache 7200RPM 3.5"" SATA Hard Drive HDD","Key Features;Enclosure	Internal;Capacity	160 GB;Buffer Size	8 MB;Hard Drive Type	HDD (Hard Disk Drive);Spindle Speed	7200 RPM;Interface	ATA/ATAPI-6, SATA 1.5Gb/s NCQ, SATA 3Gb/s NCQ;Designation	Desktop Computer","[Sata Inter Face,Selead Fresh HDD,1 Year Warranty]",Seagate,112
113,"Imperial Officially Licensed NFL Merchandise: 57"" 2-Piece Eliminator Billiard/Pool Cue, Baltimore Ravens",Imperial San Diego Chargers Licensed Eliminator Billiard Cue,"[Fiberglass wrapped over maple cues,Northern Michigan hard rock maple, hand cut and selected from true-built USA,Nylon/fiber threaded ferrules with Le Professional tips from Tweeten USA,Time seasoned maple core is bonded to fiberglass to produce a warp resistant, durable, and straightest cue,Cues guaranteed for 90 days]",Imperial,113
114,Lexerd - Mitac Mio Digiwalker C230 TrueVue Anti-Glare GPS Screen Protector,"The Lexerd TrueVue is created from an ultra-clear film that is exclusive to Lexerd for covering consumer electronics. Transparent and amazingly thin, the TrueVue is designed to precisely match the contours of every device, providing unbeatable scratch protection. Lexerd TrueVue utilizes the latest LCD screen protection technology that will keep gadgets looking great.<br><br>- Keep your device <strong>Anti Glare</strong> with the exclusive professional grade film, only available with Lexerd<br>- <strong>Scratch-proof</strong> - you can show off your gadget and use it without fear of scratching<br>- The <strong>ultra-thin film</strong> is only 0.2 mm thick and will not add bulk to your device. So you can still slip it into charging docks and handbags<br>- <strong>Lexerd' s latest technology</strong> It allows the TrueVue to create precise, custom designs that hug the curves of your electronics<br>- TrueVue is <strong>guaranteed to preserve original color tones</strong><br><br><b>Package contents:</b><br>One each of the following items: screen protector, instruction manual, lint free cloth, finger cots (to protect optical surfaces during handling)<br><br><br>Note: -To attain anti-glare properties, there may be a minimal(5%) reduction in clarity on some models.<br>-Product is made approximately 1mm smaller to improve ease of installation.<br>","[Ultra Thin,Anti-glare,Guarantee To Preserve Original Color Tones,Heat, Water Resistance, Against Scratches and Shields Damage,Not Interfere with Touch screen Technology]",Lexerd,114
115,FRAM FCF8804A Fresh Breeze Cabin Air Filter with Arm & Hammer,"FRAM Fresh Breeze Cabin Air Filters can keep up to 98% of road dust and pollen particles from entering your vehicle to improve your driving comfort. Plus, it’s the only cabin air filter with Arm & Hammer baking soda and activated carbon embedded in the filter media that can help remove odors flowing through the vehicle ventilation system.","[Filters up to 98% of dust, pollen, and other contaminants,Arm & Hammer baking soda combined with carbon cleans the outside air flowing through the ventilation system,Provides more air flow for improved performance and helps prevent musty odors from forming inside the vehicle,Keeps damaging particles from entering the engine and causing increased engine wear,Installation instructions are included in every box, along with QR codes to installation videos]",Fram,115
116,Sekonic L-398A Light Meter Studio Deluxe III (401-399),"Sekonic has redesigned their popular analog light meter to more current industry standards. The Studio Deluxe III L-398A retains all of the legendary features and benefits of its predecessor. Using an environmentally-friendly amorphous silicon photocell, Sekonic can continue to offer the popular L-398 battery-free. The L-398A offers both ""Still"" and ""Cine"" shooters the familiar features and repeatable accuracy expected from Sekonic.","[Ideal prime or back-up meter for still photography and cinematography use,Amorphous photocell requires no batteries or external power source.,ISO range 6 to 12,000 in 1/3 step increments,60-seconds to 1/8000th, f/0.7 to f/128, 8-fps to 128-fps]",Sekonic,116
117,"DecoArt Americana Acrylic Paint, 2-Ounce, Neutral Grey",Americana Acrylic Paint 2oz-Natural Grey - Opaque,"[Best Quality,Deco Art,133108]",DecoArt,117
118,"Vaseline Vaseline Intensive Care Lotion, Cocoa Radiant 20.3 oz","Pack of three, 20.3-ounce bottles of Vaseline Total Moisture Cocoa Radiant Body Lotion Rich feeling lotion for healthy glowing skin Combines pure cocoa butter and Stratys-3 multi-layer moisture Infuses moisture at the top, core, and deepest layers of the skin Formulated to feel good and do good for the skin","Vaseline Intensive Care Lotion, Cocoa Radiant 20.3 oz",Vaseline,118
119,Spongebob Squarepants Bendable Figure,,,,55
120,Maybelline Pure Powder - 665 Dark,"Maybelline Pure Powder Shine Free Finish ~ Dark #665 (Quantity 1);Skin looks flawless and blemish free.;Stands up to heat and humidity, never looks cakey, leaves skin looking fresh and clean.;Won't clog pores. hypoallergenic. dermatologist-tested. non-acnegenic. safe for sensitive skin.;Includes applicator sponge",Maybelline Pure Powder - 665 Dark,Maybelline,120
121,Transcend 2GB Sd Card (133X),"Transcend 133X SD cards achieve outstanding data transfer speeds when used with SD slot-equipped devices such as digital cameras, GPS navigation systems, and other handheld devices that require High speed file storage and file access performance","[Compatible with secure digital card standard,Built-in error correcting code (ECC) to detect and correct transfer errors,Form Factor: SD Memory card]",Transcend,121
122,Doidy Cup - Red color,The Doidy cup is an ideal aid to weaning as the natural mouth action used is the same as in breast feeding. Babies as young as 3 months find the two handled cup easy to hold and use but with Mums help the cup can be used from birth. The unique slant of this cup enables your baby to drink easily as she moves from breast to cup. Starting with a small amount of liquid she will soon become adept at drinking from it. Complete with resealable bag for travelling. Dishwasher (top shelf) and microwave safe. (Warning - microwaving liquids can result in hot spots and is not advised for childrens drinks.). Imported. Designed and made in the U.K.,,Bickiepegs,122
123,TEXTILE & FABRIC PAINT(Borduex),"Light, flowing character. Soft and vibrant especially on light colored T-shirts. With our brilliant colors it’s so easy to put your personal touch to sweatshirts, tote bags, or table cloths. Hand-painted articles instead of mass-produced ones. With JAVANA SUNNY your textiles will be as radiant as the sun. Washable up to 60°C.;Made in Germany","[Ready to apply on all varieties of cotton and mixed fabric materials(upto 20% synthetic fibre contents) .,No special medium is required to blend,Just direct application using a proper Brush.,Before starting place a piece of cardboard underneath to avoid color bleeding.,After painting iron it from the reverse side(cotton setting),Through ironing the color becomes fixed or leave it to air dry for 3days the paint is permanent.,After drying the colors are light fast and wash resistant upto 60 degree celsius,such as cotton and mixed fabrics.]",JAVANA SUNNY TEXTIL,82
124,"Post-It Notes 653-4Af Original Pad - 1.4 inch x 1.9 inch, 50 Sheets Pack of 4 Pads, Neon Multi Color",3M Page Marker 6534AF Notes & Flags,"[1.5 in x 2 in, Ultra Collection,These small notes can carry big thoughts,With the Ultra Collection, catch someone's attention and get your message read,4 Pads/Pack,All Post-it(R) Notes are recyclable.]",Post-It,124
125,Panasonic KX-TGA930T Extra Handset for KX-TG9333T Cordless Phone (Black),&nbsp;,,Panasonic,125
126,Ben 10 Alien Force Omnitrix  Assortment,,"[Project scenes and aliens from the latest Ben 10 season TV show,Kids can wear Omnitrix on their wrist to battle evil,Showcase images on walls or ceiling or any surface,Comes on three disks with 30 alien swarm images,Includes Onmitrix Watch and alien face gear with special feature]",Ben 10,55
127,"Mustad 7698BD Big Game Sea Mate 2 Extra Strong Forged Duratin Hook with Brazed Ring (10-Pack), Size 11/0","<b>Unmatched Strength</b><br>Our unique three-stage computer controlled tempering process transforms the hook into a fine grained, ultrastrong microstructure.  This increases strength up to 30 per cent compared to conventional tempering methods.  However, it's not only strength that is important in this process; Mustad has strict quality controls over the brittleness and flexibility of their hooks as well.  Mustad's superior technology allows us such control of the final outcome.<p><b>Surface treatment</b><br>Mustad hooks feature a wide range of colors and finishes, from black nickel and gold to bronze.  The special coatings have been developed to suit the various types of fishing.  E.g. Duratin is used for long lining hooks and lacquer for freshwater.  Mustad also manufactures stainless-steel hooks in a limited selection.  The challenge within this field is to increase the rust resistance of our products even more. <p><b>Rust Resistance</b><br>Experienced fishermen will select their hooks to match the bait or to suit their method of fishing and local conditions.  Some hooks are made for specific purposes and are thus available only in one finish, while other patterns come in a variety of coatings.  Different coatings have different features and properties.  This entails that the rust resistance of the hooks may vary.  Mustad runs tests showing how the various coatings compare in this respect.  These tests are carried out in accordance with the ASTM B-117 norm, set up by the American Society for Testing and Materials.  Tests run in a salt spray chamber show that hooks coated with stainless steel will have 3% surface rust, Duratin 8%, and Double Nickel 30% surface rust after a given number of hours.  The results may vary somewhat, depending first of all on the thickness of the coating, but also on fishing conditions, water temperature, type of bait and pH value.<p>Quality control at all stages of production is of major concern to the Mustad company.  At the initial s","[Mustad's wire technology and nor-tempering process means that hooks are lighter and up to 20% stronger,All hook patterns go through the Mustad bending test (mbtest). in this test we measure the load in kilograms that it takes for the hook to straighten out. This also applies to swivels and lines,Unique bend forces fish into Elbow, making it virtually impossible to Throw the hook,Comes in a pack of 10, size: 11/0,Sea Mate Hook,Mustad's Wire Technology And Nor-Tempering Process Means That Hooks Are Lighter And Up To 20 percent Stronger,Big Game Hook]",Mustad,127
128,Pinnacle Speakers S-Fit LCR 250 3-Inch 3-Element LCR Speaker (Black) (Discontinued by Manufacturer),,,Pinnacle,4
129,"STERLING B153-1 Secondary Sink 15-Inch by 15-Inch Top-mount Single Bowl Bar Sink, Stainless Steel",B153-1 Number of Holes: Single Features: -Entertainment sink.-Sink material: Stainless steel.-Reduces unwanted noise and vibration.-Self rimming sink type.-2&quot; Drain opening.-Two-hole faucet punching.-Number of bowl: 1.-Made in USA.-Basin depth : 5.5&quot;. Color/Finish: -Buffed basin finish and durable satin finish. Dimensions: -Overall dimensions: 6.25&quot; H x 16.5&quot; W x 16.188&quot; D.,"[5-1/2"" Basin depth,3-5/8"" Drain opening,One-hole faucet punching,Made from 22 gauge stainless steel with a buffed basin finish and durable satin finish,SilentShield, an exclusive sound-deadening system, reduces unwanted noise and vibration]","STERLING, a KOHLER Company",129
130,"Reebok Little Kid/Big Kid MLB Cardinals Stealing Home Slide,Navy/Red/Yellow,12 M US Little Kid",Show off your team spirit in the Reebok&reg; MLB&reg; Stealing Home Slide St. Louis Cardinals kids' sandal.,"[MLB team logo,IMEVA midsole,Adjustable strap]",Reebok,130
131,3M Protective Eyewear (Clear),3M Protective Eyewear (Clear) …,,,131
132,"Conditioner Direct Leave-In, 2 oz by Giovanni Cosmetics","Set the tone of your look and define your individual style with Direct Leave In Treatment Conditioner from Giovanni. Made from only the most carefully selected blends of vitamins, minerals, nutrients, herbs and oils, Giovanni creates pH balanced and biodegradable formulas that will help you transform your hair from damaged and dull to silky and shiny. Choose the mood and play all day.","[This product is Restores strength, luster and nourishment to abused hair,This product is Moisturizes and builds body,This product is Detangles hair for easy comb-out and easy styling]",Giovanni,132
133,Kala KA-MK-C Makala Concert Ukulele,Set off on a melodious journey with the Kala Makala MK-C Concert Ukulele. This instrument boasts a sturdy construction and is therefore sure to last you a long time. The MK-C concert ukulele offers a bright sound and is a fitting choice for playing a wide range of genres from jazz to rock. The rich and full tones produced by this instrument are sure to earn you a large number of patrons. The MK-C ukulele is an ideal pick if you are a beginner or an instructor imparting music lessons to children. This ukulele proves to be a wise investment given that it caters to the demands of a wide range of target groups. The satin finish evokes a vintage-like feel. Overall Instrument Length: 612mm Body Length: 283mm Upper Bout Width: 152.4mm Lower Bout Width: 209mm Waist Width: 123mm Body Depth: 69mm Fingerboard Width at Neck/Body Joint: 44mm,"[A truly traditional, vintage looking ukulele that emits a soft, warm, full-bodied, balanced tone and ages beautifully. Quality-constructed Mahogany in a rich satin finish that accents the wood grain,Kala focuses on the essentials - making any makala the perfect ukulele to begin with,The Makah Series is built using the same construction standards as all our Kala ukuleles.,Concert Ukulele – this would be considered a mid-sized ukulele with a bit longer Scale and more Frets than a soprano, which also makes it louder – tuned G C E a,Concert Ukulele – this would be considered a mid-sized ukulele with a bit longer Scale and more Frets than a soprano, which also makes it louder – tuned G C E a,Comes complete with a beautiful walnut Fingerboard and Bridge, Mahogany neck, brass Frets, and Aquila Super Nylgut strings from Italy]",Kala,133
134,"Sharp&#153; Mechanical Pencil, .9mm Lead, Yellow Barrel (PENP209G)",,,,134
135,"Louisville Ladder FS2006 250-Pound Duty Rating Fiberglass Step Ladder, 6-Feet","Style:Louisville Ladder | Size Name:6-Feet/250lb Product Description 6', fiberglass, type i step ladder, 250 LB duty rating, molded top with tool slots, slip resistant feet, pinch resistant spreader braces, reinforced bottom brace, meets osha, CSA, & ANSI standards, non-conductive fiberglass, double-rivet step construction. From the Manufacturer Louisville Ladder six foot medium duty fiberglass stepladder, with a 250 pound work capacity. Now features Louisville exclusive “Pro Top” designed with innovative features to improve the user’s performance when working electrical, and residential jobs. Pro top includes a magnet tray, hardware tray, curved ergonomic front, drill and tool slots, paint bucket holder, and a pipe or 2x4 holder to increase productivity and extreme durability. Also has pinch resistant spreader braces, slip resistant rubber feet, and double-rivet step construction, secured with six large headed, semi-tubular steel rivets for maximum strength. 30-Percent greater shear strength than solid aluminum rivets, to increase user safety","[Unlimited Free Two-Day Shipping,Instant streaming of over 40,000 movies and TV episodes,A Kindle book to borrow for free each month - with no due dates,Over a million songs and hundreds of playlists,package include 1pc]",Louisville Ladder,135
136,"22 Inch Wide Screen Resolution:wsxga+ 1680X1050, Response Time 2MS (gray To Gray",- 2ms Response Time  - Resolution: WSXGA 1680 x 1050  - 3000:1 ASCR (ASUS Smart Contrast Ratio) / (Contrast Ratio 1000:1)  - Viewing angle: 170(H)/160(V)  - Built-in HDMI  - 1.3 M Pixel Webcam (rotatable)          - Built in stereo speakers (1 W stereo speakers and earphone jack)  - VESA wall mounting compatible  -              - ASUS SPLENDID Technology,,ASUS,136
137,"Red Wing Women's 4906 Celina Clog,Black,12 M US",,"[Cushioned footbed,Traction outsole]",Red Wing Heritage,137
138,Speakman Traditional Series SE-584 Pedestal Mounted Eyewash with Stainless Steel Bowl,SE-584 Features: -Eye washes. -Pedestal mounted. -Aerated sprayheads with flip top dust covers. -Paddle handle operation with stay open ball valves. -Flow rate: 3.6 GPM at 30 PSI. -Meets ANSI Z358.1. Country of Manufacture: -United States. Dimensions: -Product weight: 4 lbs. Overall Product Weight: -4 lbs.,"[Pedestal mounted,stainless steel round bowl,Paddle handle operation with stay open ball valves,aerated sprayheads with flip top dust covers,Meets ANSI Z358.1]",Speakman,138
139,KONG Cat Wubba Teaser Cat Toy (Colors Vary),The ultimate Cat Toys. The original Cat Wubba was inspired by Kong's popular Wubba dog toy and is the perfect size for batting around.,"[Easy to assemble two-piece teaser pole,Appeals to your cat's desire to stalk and capture prey,Infused with premium natural catnip,Durable reinforced nylon fabric,Interactive fun for you and your pet]",KONG,139
140,"Levi's Men's 517 Boot Cut Jean, Rinse, 32x30","Made in 1969 to fit over boots, Levi's 517 Bootcut Jeans have been tried and true for generations. Cut to sit below the waist, slim from hip to thigh with an authentic bootcut leg. They're durable, comfortable, and have always looked good.","[Slim-fitting bootcut jean in regular rise featuring five-pocket styling,Zip fly with button,Arcuate stitching at back pockets,Actual coloration may vary from garment to garment due to specific wash processes.]",Levi's,40
141,Lanikai LU-21B Ukulele,Baritone Sized 18 Frets Easy Playablity Die Cast Tuners Black colour Matt wood Finish Available,"[Baritone Sized. 18 Frets,Easy Playablity,Die Cast Tuners,Limited Lifetime Warranty.Easy Playability.Rosewood fingerboard and bridge with die-cast geared tuners.Nato wood top, back, and sides.Size: 30""W x 10""W x 3-3/8""D.,Free Ukele strings if purchased from 'Musician Jack' seller]",Lanikai,133
142,"Girls Summer Pants and Top Outfit Teddy Bear Clothes Fit 14"" - 18"" Build-a-bear, Vermont Teddy Bears, and Make Your Own Stuffed Animals",,,Stuffems Toy Shop,82
143,DMC Pearl Cotton Skein Size 3 16.4yd-Dark Aquamarine,DMC Pearl Cotton Skein Size 3 16.4yd-Dark Aquamarine,"[Best Quality,DMC,12118]",DMC,143
144,Hot Wheels Collectibles Amx & Plymouth Hemi Gtx Set With Display Case,,,,69
145,LP Supports Elbow Support Medium (Pack of 2 PCS),,"[SIZE : UNIT INCH (10 - 12'') Measure around the elbow joint.,Helps support elbow joint, aids recovery of injured elbows and relieves arthritis pain. Recommended for tennis and golf elbow.]",LP,145
146,"Peugeot 250201 Esprit Casual Tasting Glasses, Set of 4","The Esprit CASUAL glass, with its laid-back roly-poly shape, has the curves and fine globe to offer all the qualities required to exalt the aromatic complexity of Bordeaux and eager reds like Beaujolais. It could occasionally double as an original water glass.","[Product Type: Mixed Drinkware Sets,Set of four Esprit Casual tasting glasses,This product is imported from USA - It is a 100% genuine product,Suitable for all types of wine]",Peugeot,146
147,"Avery Printable Repositionable Plastic Tabs, 1.25 Inch, Assorted, 96 per Pack (16281)",,"[Adhesive allows durable tabs to be repositioned when applied but become permanent over time for security,Handwrite or use your laser or ink jet printer to print on front and back of tabs,Easy to format with templates in Microsoft Word]",AVERY,147
148,"Regency Turkey Lacers for Trussing Turkey, 4.5 inches Steel ,set of 6",Package Quantity:1 | Size:A Regency Turkey Lacers are trussing needles made of Stainless steel. Use to truss Turkey and Poultry and even for arts and crafts. Can be used with or without cooking twine. Regency Cooking Twine recommended. 6 lacers per package 4.5 inches,"[Trussing needles made of sturdy stainless steel,For trussing turkey and poultry,Can be used with or without twine,Good in temperatures up to 500 degrees,Lacers 4.5 inches long]",Regency Wraps,148
149,"Rapala Down Deep Husky Jerk 10 Fishing Lure, 4-Inch, Silver Blue","RAPALA DOWN DEEP HUSKY JERK #10, 4"", 3/8 OZ., SILVER BLUE","[Deep Diving Lip,Suspending,Long-Casting,Loud Rattles,Premium VMC Black Nickel Hooks]",Rapala,149
150,Maisto 1:27 AL HUMMER Soft Top: Assembly Line Model Kit,,"[Authentic 1:24-1:27 scale model kit,Die-cast metal body with plastic parts,Working steering and opening doors,Bonus set of custom wheels and screwdriver included,No glue or paint needed]",Maisto,150
151,"Winco PFBT-11W Flair Bottle, White with Lavender Tint","Winco has been a trusted and reliable brand in professional kitchens for over 20 years. Our commercial lines of products, ranging from tabletop to kitchen utensils to food preparation supplies, are used by all foodservice and hospitality industry experts worldwide. While our products are made to meet the high demands of a restaurant kitchen, we are excited to now make them available for the serious home chef.","[Winco products are made to meet the high demands of a kitchen,Trusted and reliable,Winco products range from tabletop to kitchen utensils to food preparation supplies,Winco products are used by all foodservice and hospitality industry experts worldwide,Good quality product]",Winco,151
152,Japanese Bamboo Matcha Tea Whisk Chasen,"Making frothy matcha for the Japanese tea ceremony with this Bamboo tea whisk,Our bamboo tea whisk . * Dimension: H 4.5"" X W 2.5"" The Japanese tea ceremony (chado, or sado, or chanoyu - ""the way of tea"") is a traditional ritual based on Taoism (Daoism) and influenced by Zen Buddhism in which powdered green tea, or matcha, is ceremonially prepared by a skilled practitioner and served to a small group of guests in a tranquil setting.",,Happy Sales,152
153,"POLO by Ralph Lauren Toddler/Little Kid Bal Harbour Hi flag Sneaker,Red,5.5 M US Big Kid",,Toddler sizes 4-10 have a Back Strap. The bigger sizes do not have a Back Strap,Polo Ralph Lauren,153
154,Now Foods Lavender Oil,,,,154
155,Big Bud,Advanced Nutrients Big Bud Liquid Fertilizer,,Advanced Nutrients,155
156,Charles G. Koch,,,,4
157,Richard A. Moran,,,,4
158,A. W. Tozer,,,,4
159,Lee Lanier,,,,4
160,"Stout by Envision T3039B13 100% Recycled Plastic Garbage Bags, 20-30gal, 1.3mil, 30x39, Brown/Black (Case of 100)","Multiuse, strong, low-density recycled plastic bags provide maximum puncture and tear resistance. Lab tested for strength and reliability to recommended weight capacity. Designed for use in specified gallon-capacity containers. Tie closures included. Application: Can Liner Capacity Range Volume Max: 30 gal Capacity Range Volume Min: 20 gal Thickness: 1.3 mil.","[Stand up to heavy workloads while minimizing input of resins into our waste systems.,Puncture and tear resistant.,Waste-system friendly.]",Stout,160
161,Melinda Curtis,,,,4
162,Richard D. Phillips,,,,4
163,Dan Stone,,,,4
164,David J. Linden,,,,4
165,Axiom 512MB FPM Dram Memory Module,This 512MB memory module designed to enhance the performance. Compatible with  Sun Ultra 30 Model 300 and Ultra 60 Series models.,"[512MB (2 x 256MB),FPM DRAM,200-pin]",Axiom,165
166,Wilfrid Hodges,,,,4
167,Jeph Loeb,,,,4
168,Tara McCarthy,,,,4
169,Jione Havea,,,,4
170,Ans Schapendonk,,,,4
171,Ferdinand Otto Miksche,,,,4
172,Clara E. Hill,,,,4
173,Robert Thornton Morrison,,,,4
174,Michael J. Howell,,,,4
175,Frank Keating,,,,4
176,Mint Julep Cup - 12 fl oz,"This nickel plated mint julep cup will keep your favorite derby drinks nice and frosty, you can bet on that. Enjoy an authentic Kentucky Derby mint julep the way it was intended in with this 12-ounce mint julep cup. With an easy to engrave face, it is simple to personalize it with the name of your favorite Southern Belle or a true Kentucky Gentleman. Sip on this: Each year, almost 120,000 mint juleps are served over the two-day period of the Kentucky Oaks and Kentucky Derby. A feat that requires over 10,000 bottles of Mint Julep Ready-to-Serve Cocktail, 1,000 pounds of freshly harvested mint and 60,000 pounds of ice. In stock and ready to ship. Features: Easy for almost any jeweler to engrave if desired. Frosts on the outside for best possible taste. Specs: Made of polished nickel over brass. Dimensions: 3 1/2""W x 4 1/4""H. Capacity: 12 fl oz.","[This stainless steel mint julep cup will keep your favorite derby drink frosty.,Nickel plated over brass.,Easy for almost any jeweler to engrave.,Capacity: 10 oz.,Dimensions: 3 1/2""W x 4 1/4""H]",KegWorks,11
177,Kala KA-6 Mahogany 6-String Tenor Ukulele,The Gloss Mahogany line features a high-gloss finish to enhance the simple elegance of the Mahogany woodgrain. The gloss adds a smoothness and sturdiness to the uke and a cream binding ties it all together.,"[SIZE: Tenor 6 String TOP: Mahogany BACK & SIDES: Mahogany BINDING: Cream,FINISH: Gloss NECK: Mahogany FINGERBOARD: Walnut NUT & SADDLE: GraphTech NuBone HEADSTOCK: Slotted STRINGS: Aquila Super Nylgut,Scale Length: 17 inches Overall Instrument Length: 26.125 inches Body Length: 11.75 inches Number of frets: 18,Width at upper bout: 7 inches Width at lower bout: 9.125 inches Width at waist: 5.5 inches,Body Depth: 3.12 inches Fingerboard width at nut: 1.39 inches Fingerboard width at neck/body joint: 1.81 inches]",Kala,133
178,The Uncanny X-Men NIGHTCRAWLER 5 Action Figure (1993 ToyBiz),The Uncanny X-Men NIGHTCRAWLER 5 Action Figure (1993 ToyBiz),,,55
179,Hepkat Provisioners Fake Liquid Blood Capsules,Blood Capsules. Each card comes with four capsules that can be broken to simulate bleeding. Put them in your mouth or break them open on other body parts. (yours or a friend),"[Put It In Your Mouth, Bite It When The Time Is Right,Great Halloween Kits,Pop-Up Design For Quick And Easy Assembly.Tent Folds Flat For Convenient Storage When Not In Use]",Hepkat Provisioners,179
180,AC Adapter/Power Supply Cord for Dell AA2003 AA2031 09364u 4983D 85391 9364U AA20031 ADP-70EB PA-2 PA-6 PA-8 pa 6 pa2 pa6 pp01l,,,Dell,180
181,Grohe Lineare OHM Bath Mixer (Chrome),Lineare Single-lever bath mixer set for final installation for 35 501 000 33 961 000 33 963 000 without concealed body GROHE StarLight chrome finish automatic diverter: bath/shower escutcheon- and shaft-sealing metal escutcheon covered coupling,"[Material: Metal, Color: Chrome,Item Dimension: 250mm x 200mm x 70mm,Package Contents: 1-Piece Bath Mixer,Grohe quality - performance and precision in every detail,Grohe QuickFix ensures easy, fast and hassle-free installation with covered screws,Grohe EcoJoy with water-saving function for reduced consumption,Easy to clean thanks to the Grohe StarLight chrome coating,Easy installation system with straight-forward instructions]",Grohe,181
182,"Rapala X-Rap Jerkbait 10 Fishing lure (Glass Ghost, Size- 4)","The adrenaline-pumping X-Rap slashbait has Xtreme attitude with its hard-cutting, aggressive darting action. The integrated long-casting system partners with an irresistible rattle and classic Rapala action. It suspends and comes to a roll at rest to trigger the bite. The X-Rap is ''all about the action'' and it ''triggers'' strikes","[The adrenaline-pumping X-rap slashbait has Xtreme attitude with its hard-cutting, aggressive darting action,Running depth: 3-8 feet,Weighs .4375 Oz,The integrated long-casting system partners with an irresistible rattle and classic rapala action,It suspends and comes to a roll at rest to trigger the bite]",Rapala,149
183,"KS Tools 140.2211 Windscreen cutting wire braided, 22,5 m",,,,4
184,Disney Cars No Stall Hauler,Disney's Cars Toy Hauler - No Stall0,"[CARS No Stall Hauler in 1:55 scale,Trailer opens in a unique way,Truck and trailer offers loads of fun play adventures,Favorite CARS character from the Disney /pixar movie,Boys are sure to love]",Mattel,69
185,Trangia Non Stick Frypan with Lid and Handle (7.8-Inch),Non-stick aluminum frypans,"[7.8"" frypan: Folding handle and lid. Dim: 7.8"" D x 3"", Wt: 13.7 oz/390 g,8.7"" frypan: Folding handle. Wt: 9.5 oz/270 g,9.4"" frypan: Detachable handle with locking brace for secure fit. Wt: 14 oz/400 g]",Trangia,185
186,Rubbermaid FG295573BLUE Wastebasket Recycling Small 13 Qt Blue,,"[Material: resin,Color: blue,Size (l x w x h): 11.4"" X 3.248"" X 3.248""]",Rubbermaid,186
187,Dorman H38813 Hydraulic Brake Hose,Direct replacement Hydraulic Brake Hoses are designed to fit specific vehicle applications and positions. This ensures a great fit every time. New hose replacement is recommended as part of a complete brake repair for your vehicle. The new hoses help to prevent loss of brake fluid and provide optimal brake performance.,"[Direct replacement hydraulic brake hose is application specific,Quality construction ensures strength, chemical and thermal resistance for longer life,Brake hoses with banjo end fittings include new copper washers to ensure proper sealing,All brake hoses are tested up to 4,000 pounds per square inch to ensure safety standards are met,Integral brackets, if applicable are included to ensure proper fit and ease of installation]",Dorman,187
188,MXL V87 Low-Noise Condenser Microphone with Pop Filter and Low Profile Shockmount,,,MXL Mics,188
189,"Acoustic Audio HT-67 in Wall in Ceiling 1750 Watt 6.5"" Home Theater 7 Speaker System","Acoustic Audio HT-67 in Wall in Ceiling 1750 Watt 6.5"" Home Theater 7 Speaker SystemThis perfectly matched Acoustic Audio by Goldwood seven speaker system contains five 6.5"" rectangular in-wall/ceiling speakers and two 6.5"" round in-wall/ceiling speakers. This system is perfect for use in multi-room sound systems and surround sound home theaters. Because the speakers mount seamlessly into any wall or ceiling there is no need to worry about unsightly speaker wire cluttering up your home or office. The white grills will match an array of home interiors or can be easily painted to coordinate with a specific decor. Aesthetics aside the sound quality of these speakers is unmatched. Each two-way speaker features high rigidity polypropylene cones with soft dome tweeters and butyl rubber surrounds. The result of this sophisticated engineering is 1750 watts of peak power handling (875 watts RMS handling). ;","[Acoustic Audio by Goldwood HT-67 in wall and in c,Frequency response is 35Hz-22 kHz crossover freq,Butyl rubber surrounds 12mm soft dome tweeters t,Cut-out templates included rectangular cut out i]",Acoustic Audio by Goldwood,189
190,Hohner Kids HMX3008B Glockenspiel,"Your child will love making bright and lively sounds on this colorful glockenspiel. The unique design is easy-to-use, includes a child-safe mallet and is designed to protect toddlers from sharp edges and corners. This eight-note, perfectly tuned, musically correct instrument can even be used to demonstrate recognizable songs to your baby, like Mary had a Little Lamb and Twinkle Twinkle Little Star. And when you and your child are done making music, the glockenspiel can be stored in its attractive vinyl bag.","[Unique design protects the bars from falling off or being Removed,Specially designed child safe mallet for ages 12 months and up,Accurate tuning produces a pleasant sound,BPA Free, Lead Free, Phthalate Free,Enticing to touch and perfect to pitch,A great way to introduce your little one to music through play,Safety mallet included]",Hohner Kids,190
191,Black Sakura Cherry Blossom Sushi Plate Set for Two,&nbsp;,"[Set includes Two plates- 8 1/2 inches by 5 inches, two round sauce dishes- 3 inches and two pairs of wooden chopsticks,Hand Crafted in Japan, this set comes in a black gift box,Beautiful Cherry Blossom Motif, a harbinger of springtime,Can be used for sushi, sashimi or any appetizer]",ASIAN,191
